txn_id,date,amount,counterparty,payment_method,reference_number,status
L00012,2026-07-01,4591.43,WALI INC,NEFT,pay_C28h6kMA3Txs1n,captured
L00044,2026-07-01,59015.32,BANERJEE AND SONS,NETBANKING,pay_eIdZdyzKHvzSDk,captured
L00084,2026-07-01,10395.83,PRADHAN LTD,CARD,pay_61oivFtv8bKfXW,captured
L00089,2026-07-01,4192.43,DORA INC,NEFT,pay_Hlt0h92N9RIBJR,captured
L00202,2026-07-01,5582.9,LALLA-BALI,IMPS,pay_MikSiujYLvGUkn,captured
L00210,2026-07-01,1999.87,SAINI-GALA,IMPS,pay_JJll5Kk43ESLVJ,captured
L00238,2026-07-01,35222.91,"KAPOOR, MITRA AND KULKARNI",IMPS,pay_CAF3JcXsvD7WAh,captured
L00239,2026-07-01,35222.91,"KAPOOR, MITRA AND KULKARNI",IMPS,pay_CAF3JcXsvD7WAh,captured
L00265,2026-07-01,40163.15,SAHNI GROUP,UPI,pay_kRT2uzdEq7LHjk,captured
L00281,2026-07-01,6681.59,SODHI AND SONS,NEFT,pay_96IoZ6CQvRvwAn,captured
L00376,2026-07-01,11076.2,"BRAHMBHATT, RAMACHANDRAN AND BEHL",IMPS,pay_G0poOcorQ0q6GR,captured
L00438,2026-07-01,4159.78,"AMBLE, RAMASWAMY AND DUBE",CARD,pay_NMvKgtfZ1FkQQK,captured
L00153,2026-07-02,14779.95,SUBRAMANIAM-RAMAKRISHNAN,UPI,pay_7KM82mXh6O9caG,captured
L00157,2026-07-02,3696.33,SHERE LLC,UPI,pay_Zw6TTRIMugCllC,captured
L00211,2026-07-02,21302.95,SODHI-KASHYAP,NETBANKING,pay_LCnDEXRD45mtVs,captured
L00254,2026-07-02,24287.73,"MURTY, MINHAS AND GOEL",CARD,pay_1PR9OBFYKAoy0v,captured
L00347,2026-07-02,120228.24,HAYRE PLC,CARD,pay_FvnhoewzQuZ7f1,captured
L00348,2026-07-02,120228.24,HAYRE PLC,CARD,pay_FvnhoewzQuZ7f1,captured
L00410,2026-07-02,3283.53,SHERE-DAS,CARD,pay_Bt3PB9F3a0smzq,captured
L00030,2026-07-03,4053.14,DUBE-MALLICK,UPI,pay_ZJuk6LemEsB3FR,captured
L00087,2026-07-03,4402.89,KUNDA-MUNI,WALLET,pay_Bs7XQHLxF3yVkU,captured
L00090,2026-07-03,10140.58,"RAO, MUKHERJEE AND MERCHANT",NEFT,pay_wZTQ3HBMbof5Xa,captured
L00138,2026-07-03,616.49,"CHANA, OAK AND LALL",IMPS,pay_lrrtn3S20oEwF0,captured
