txn_id,date,amount,counterparty,payment_method,reference_number,status
L00059,2026-07-01,17693.85,LALL PLC,NEFT,pay_jJr8Ob1yV7Zvm6,captured
L00085,2026-07-01,2131.2,"ANDRA, KHARE AND MAHAJAN",CARD,pay_G4GVUffPC1C5Eh,captured
L00182,2026-07-01,5344.59,MERCHANT AND SONS,CARD,pay_PJ8E3cLSEj74bY,captured
L00188,2026-07-01,26106.65,GARDE-SARMA,UPI,pay_J01tnn2ky8lxuZ,captured
L00267,2026-07-01,838.87,KALA-RAVAL,IMPS,pay_REkG2GRBKDGtt7,captured
L00364,2026-07-01,1181.67,KANT-REGE,NETBANKING,pay_1CqoZvMoU8ONMj,captured
L00368,2026-07-01,795.09,BHATTACHARYYA-CHAWLA,IMPS,pay_Brdko05VWkFNDL,captured
L00369,2026-07-01,1060.43,BHATTACHARYYA-CHAWLA,IMPS,pay_qAjBkcGnOo4yCj,captured
L00384,2026-07-01,7807.34,"IYENGAR, MINHAS AND CHANA",UPI,pay_Nh7Nzr7HLAVAnJ,captured
L00396,2026-07-01,2272.73,"DAR, VISWANATHAN AND MEMON",IMPS,pay_4aVtx1LgOQO3Va,captured
L00054,2026-07-02,976.16,"SARMA, GREWAL AND MAHAJAN",IMPS,pay_FppyT9MPzLfd5T,captured
L00127,2026-07-02,7132.81,MANGAL LTD,UPI,pay_AMKWsVuv5mBMU1,captured
L00141,2026-07-02,2643.13,JAGGI-WALLA,NEFT,pay_unr0ssZhkobWF1,captured
L00236,2026-07-02,2158.61,BARMAN-REGE,WALLET,pay_nhCbDOE2p0Xa5o,captured
L00266,2026-07-02,2002.2,KALA-RAVAL,WALLET,pay_0wAwdUIbSfj4qk,captured
L00370,2026-07-02,9466.02,BHATTACHARYYA-CHAWLA,NETBANKING,pay_bJ7qrUwF6Ybzc0,captured
L00371,2026-07-02,38539.5,"SATHE, BAHL AND JHA",NETBANKING,pay_3RKqbxaSiDXL5X,captured
L00397,2026-07-02,2272.73,"DAR, VISWANATHAN AND MEMON",IMPS,pay_4aVtx1LgOQO3Va,captured
L00441,2026-07-02,9167.8,"TANDON, NANDA AND SHARMA",CARD,pay_YvvxOFlmNsEOH0,captured
L00450,2026-07-02,42168.86,GUHA LLC,NEFT,pay_lbXBXf0Lu3PUbw,captured
L00007,2026-07-03,3205.8,"SONI, DAR AND BALA",WALLET,pay_7aKVwBG7waPvzN,captured
L00134,2026-07-03,10043.62,SALVI-TALWAR,CARD,pay_0h2kEYL97n8zw0,captured
L00154,2026-07-03,3364.81,"SAHA, BHANDARI AND CHAUDRY",NETBANKING,pay_83bNcUhLXhaXqX,captured
L00193,2026-07-03,1011.91,OZA LTD,NEFT,pay_UmqCD0ezX0wZhO,captured
L00200,2026-07-03,256.75,UPADHYAY INC,NEFT,pay_cgy1GMmsYJH5om,captured
L00211,2026-07-03,4030.03,"GARG, WALIA AND LANKA",NEFT,pay_ea1zcmJVoubKGf,captured
L00322,2026-07-03,4772.86,"COMAR, UPPAL AND SRIDHAR",IMPS,pay_qbi03BlJ5VoDXS,captured
L00337,2026-07-03,29455.58,"GOKHALE, SANKAR AND YADAV",NEFT,pay_EAOr4uHWzVBRlf,captured
L00347,2026-07-03,28368.45,CHAUDHRY-CHADHA,NETBANKING,pay_pzH8sHl5GUCPBG,captured
L00348,2026-07-03,28368.45,CHAUDHRY-CHADHA,NETBANKING,pay_pzH8sHl5GUCPBG,captured
L00360,2026-07-03,4957.42,"CHOPRA, BADAL AND MAGAR",WALLET,pay_6g6omG8XIEgfBr,captured
L00433,2026-07-03,33759.22,NADIG LLC,NEFT,pay_DlRWusEqhedGlH,captured
L00005,2026-07-04,2110.99,BAJWA-SINGH,UPI,pay_FtmCftN4WOKz8b,captured
L00125,2026-07-04,4150.27,SARAN-SHA,UPI,pay_ArYYbbah3d3c0w,captured
L00162,2026-07-04,2217.04,BHARGAVA-DUBEY,UPI,pay_d8ffYxZJ93MvQ9,captured
L00203,2026-07-04,3194.44,GOPAL GROUP,IMPS,pay_JsMZOZZVmQQp6u,captured
L00235,2026-07-04,14486.0,KOTHARI PLC,NEFT,pay_967520cV8uMGzj,captured
L00326,2026-07-04,8103.81,"SANI, GABA AND BHATTACHARYYA",NETBANKING,pay_I8pOedEfwefxX3,captured
L00353,2026-07-04,5324.11,"CHAUDHURI, KARPE AND DESHPANDE",WALLET,pay_VMPqAmAd5VrRd7,captured
L00362,2026-07-04,17369.41,ARORA-LAL,NETBANKING,pay_1U8T74kHxmAHuT,captured
L00374,2026-07-04,3070.46,OZA AND SONS,NETBANKING,pay_PKSOiaMpmA9n9A,captured
L00378,2026-07-04,1699.54,"SHETH, CHANDRAN AND DIN",WALLET,pay_pbJbGNvOtKC7KW,captured
L00379,2026-07-04,8390.95,IYER-SOMAN,NETBANKING,pay_fHRdwDk6SuOzqV,captured
L00381,2026-07-04,1676.52,SANE LLC,UPI,pay_b0aQTv0aOQBfGN,captured
L00422,2026-07-04,10612.17,TAILOR INC,IMPS,pay_kGa96F1xkpETOo,captured
L00049,2026-07-05,14378.39,"BABU, MANGAT AND MAHAJAN",NETBANKING,pay_06K4G0Kvq4zH6h,captured
